CNN Model,Input Type,Target Type,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,full,multiclass,42,4pm,0.9406848549842834,0.8152385950088501,0.8542550802230835,0.7803789973258972,0.813860297203064,0.708354651927948,0.8849675059318542,0.8880122900009155,0.6881036162376404,0.7455891966819763,0.6398536562919617,0.6861420273780823,0.5484126806259155,0.7936697602272034
unet,full,multiclass,42,5pm,0.9458975195884703,0.8260777592658997,0.8548939228057861,0.7838166356086731,0.8257431983947754,0.7506591081619263,0.894495964050293,0.8973487615585327,0.7036904096603394,0.7465631365776062,0.6444888710975647,0.7032049298286438,0.600844144821167,0.8091295957565308
unet,full,multiclass,42,6pm,0.9444218277931212,0.8183107376098633,0.837297797203064,0.7703800201416016,0.8251847624778748,0.7508304119110107,0.8838623762130737,0.8946962356567383,0.6924923062324524,0.7201309204101562,0.6265187859535217,0.7023953795433044,0.6010636687278748,0.791893720626831
unet,full,multiclass,42,7pm,0.9417562484741212,0.8187875747680664,0.8299844861030579,0.7535006403923035,0.818428099155426,0.7569007277488708,0.8980178236961365,0.8899238109588623,0.6931755542755127,0.7093790769577026,0.6044933795928955,0.692660391330719,0.608881950378418,0.8149113655090332
unet,full,multiclass,42,8pm,0.9448021054267884,0.8237668871879578,0.8388648629188538,0.773353099822998,0.8248081207275391,0.752999484539032,0.8950181007385254,0.8953790664672852,0.7003432512283325,0.7224524617195129,0.6304610967636108,0.7018497586250305,0.6038485765457153,0.8099843859672546
unet,full,multiclass,43,8am,0.9458075165748596,0.8357573747634888,0.8979805707931519,0.8487109541893005,0.8579360246658325,0.7323020100593567,0.912176251411438,0.897186815738678,0.7178549766540527,0.8148500323295593,0.7371832132339478,0.7512153387069702,0.5776628255844116,0.8385331034660339
unet,full,multiclass,43,9am,0.9510340094566344,0.8460264205932617,0.8544399738311768,0.7952616810798645,0.8406803607940674,0.7467211484909058,0.9123567938804626,0.9066394567489624,0.7331419587135315,0.7458709478378296,0.6601115465164185,0.7251498103141785,0.595814049243927,0.8388383388519287
unet,full,multiclass,43,10am,0.9512251615524292,0.8468402028083801,0.9005207419395447,0.8566982746124268,0.8817915916442871,0.7853124737739563,0.9208373427391052,0.9069870114326476,0.7343649864196777,0.8190429210662842,0.7493194937705994,0.7885753512382507,0.6465139985084534,0.8532887101173401
unet,full,multiclass,43,11am,0.9497138857841492,0.8416924476623535,0.8768038153648376,0.8301513195037842,0.8722753524780273,0.7809771299362183,0.915884494781494,0.9042430520057678,0.7266570925712585,0.7806327939033508,0.709622859954834,0.773482620716095,0.6406583189964294,0.8448218703269958
unet,full,multiclass,43,12pm,0.9551022052764891,0.8585324883460999,0.9035032391548156,0.865942656993866,0.8861607909202576,0.785943329334259,0.9274592995643616,0.9140627384185792,0.7521304488182068,0.8239907622337341,0.7635793089866638,0.7955912947654724,0.6473695635795593,0.8647311329841614
