CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,rois,multiclass,1,8,5pm,0.956009805202484,0.8610592484474182,0.7537091970443726,0.3729319274425506,0.2944138348102569,0.1711178421974182,0.0,0.9157268404960632,0.7560175657272339,0.6047618985176086,0.2292048633098602,0.1726173907518386,0.0935641676187515,0.0
unet,rois,multiclass,1,8,6pm,0.9612131118774414,0.8677124381065369,0.8000186681747437,0.349793016910553,0.2676317095756531,0.1897037029266357,0.0,0.9253227114677428,0.7663357257843018,0.6666925549507141,0.211969181895256,0.1544889211654663,0.104791522026062,0.0
unet,rois,multiclass,1,8,7pm,0.9628149271011353,0.8723612427711487,0.7721702456474304,0.3691520094871521,0.2927124202251434,0.197612777352333,0.0,0.928296148777008,0.773617684841156,0.628890335559845,0.2263558506965637,0.1714488118886947,0.109639473259449,0.0
unet,rois,multiclass,1,8,8pm,0.9616621732711792,0.868725061416626,0.8016499280929565,0.3903957009315491,0.2521621882915497,0.1640044897794723,0.0,0.9261554479599,0.7679167985916138,0.6689614057540894,0.242541417479515,0.1442709416151046,0.0893272832036018,0.0
unet,rois,multiclass,1,9,8am,0.9643227458000184,0.8773738145828247,0.8340478539466858,0.4475647211074829,0.2816496789455414,0.2130273580551147,0.2097902148962021,0.9311035871505736,0.7815369367599487,0.715336263179779,0.288298487663269,0.1639070063829422,0.1192113161087036,0.1171875
unet,rois,multiclass,1,9,9am,0.962545931339264,0.8733723163604736,0.8379938006401062,0.4744725823402405,0.2565606236457824,0.1976614892482757,0.2022471874952316,0.927796185016632,0.775209367275238,0.7211611866950989,0.3110219836235046,0.1471577584743499,0.109669454395771,0.1124999970197677
unet,rois,multiclass,1,9,10am,0.9444609880447388,0.826012372970581,0.8552484512329102,0.4727031290531158,0.2551479637622833,0.212624579668045,0.2136181592941284,0.8947665691375732,0.7035954594612122,0.7471039891242981,0.3095031082630157,0.1462289988994598,0.1189591065049171,0.1195814684033393
unet,rois,multiclass,1,9,11am,0.9662064909934998,0.8862805962562561,0.8292887210845947,0.404797226190567,0.2619321942329407,0.1967378705739975,0.1994183659553527,0.9346223473548888,0.7957844138145447,0.7083631157875061,0.2537590861320495,0.1507031023502349,0.1091010943055152,0.1107521951198577
unet,rois,multiclass,1,9,12pm,0.9579653143882751,0.862194836139679,0.8557471632957458,0.4539915919303894,0.2663027346134186,0.2180694639682769,0.2142857164144516,0.9193218946456908,0.7577701807022095,0.7478654980659485,0.2936540246009826,0.1536039412021637,0.1223782077431678,0.1199999973177909
unet,rois,multiclass,1,9,1pm,0.9655801057815552,0.884246826171875,0.8264101147651672,0.4387341141700744,0.2612659633159637,0.2013486474752426,0.2039660066366195,0.9334508180618286,0.7925111055374146,0.7041727900505066,0.2810117900371551,0.150262176990509,0.1119442358613014,0.1135646700859069
unet,rois,multiclass,1,9,2pm,0.9671885371208192,0.8883115649223328,0.8263764381408691,0.4129876792430877,0.2694779634475708,0.2274341136217117,0.2200825363397598,0.9364618062973022,0.7990652918815613,0.7041239142417908,0.2602296471595764,0.1557206213474273,0.1283078491687774,0.1236476078629493
