CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,4,6pm,0.7461538314819336,0.5282359719276428,0.3031852543354034,0.0170940179377794,0.0,1.0,1.0,0.5950919985771179,0.3589134812355041,0.1786790490150451,0.0086206896230578,0.0,1.0,1.0
cgnet,rois,multiclass,1,4,7pm,0.7361580729484558,0.5202661156654358,0.3122975528240204,0.0234070215374231,1.0,1.0,1.0,0.5824763774871826,0.3515943884849548,0.1850430220365524,0.0118421055376529,1.0,1.0,1.0
cgnet,rois,multiclass,1,4,8pm,0.7392435669898987,0.5233809947967529,0.3093030750751495,0.0280172415077686,1.0,1.0,1.0,0.5863491892814636,0.3544455170631408,0.1829441338777542,0.014207649976015,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,8am,0.7752300500869751,0.5518812537193298,0.4146724343299866,0.0,1.0,1.0,1.0,0.6329597234725952,0.3811022043228149,0.2615689039230346,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,9am,0.7770942449569702,0.5535230040550232,0.4512003362178802,0.0,1.0,1.0,1.0,0.6354489922523499,0.3826697468757629,0.2913225889205932,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,10am,0.7834538221359253,0.5595577955245972,0.4248138964176178,0.0133779263123869,1.0,1.0,1.0,0.643998384475708,0.3884625434875488,0.2696912288665771,0.0067340065725147,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,11am,0.7763903141021729,0.5540385246276855,0.4331389367580414,0.021953897550702,0.0,1.0,1.0,0.6345081329345703,0.3831627070903778,0.276437371969223,0.0110987788066267,0.0,1.0,1.0
cgnet,rois,multiclass,1,5,12pm,0.7756079435348511,0.5528673529624939,0.3865096271038055,0.0181200448423624,0.0,1.0,1.0,0.6334637403488159,0.3820433020591736,0.239548772573471,0.0091428570449352,0.0,1.0,1.0
cgnet,rois,multiclass,1,5,1pm,0.7884785532951355,0.5646065473556519,0.4286838471889496,0.041237112134695,1.0,1.0,1.0,0.6508168578147888,0.393346220254898,0.2728183269500732,0.0210526324808597,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,2pm,0.7755332589149475,0.55223548412323,0.3896946310997009,0.0684326738119125,1.0,1.0,1.0,0.6333640813827515,0.3814401626586914,0.2420004457235336,0.0354285724461078,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,3pm,0.7614317536354065,0.5393257141113281,0.3358540534973144,0.0351262353360652,1.0,1.0,1.0,0.6147676706314087,0.3692306280136108,0.2018176764249801,0.0178770944476127,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,4pm,0.7700770497322083,0.5478838682174683,0.3892172574996948,0.0645879730582237,1.0,1.0,1.0,0.6261181235313416,0.3773003220558166,0.2416323870420456,0.0333716906607151,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,5pm,0.7593191862106323,0.5367944240570068,0.3456010222434997,0.0092059839516878,1.0,0.0,1.0,0.6120181083679199,0.3668619096279144,0.2088982313871383,0.0046242773532867,1.0,0.0,1.0
cgnet,rois,multiclass,1,5,6pm,0.7577059268951416,0.5371630787849426,0.3527687191963196,0.0502732247114181,1.0,1.0,1.0,0.6099247336387634,0.3672064244747162,0.2141585946083068,0.0257847532629966,1.0,1.0,1.0
cgnet,rois,multiclass,1,5,7pm,0.758373498916626,0.539149284362793,0.3868297934532165,0.0516684614121913,0.0,1.0,1.0,0.6107903718948364,0.3690653145313263,0.2397947758436203,0.0265193376690149,0.0,1.0,1.0
cgnet,rois,multiclass,1,5,8pm,0.7500592470169067,0.5322015285491943,0.3987400531768799,0.0322927869856357,1.0,1.0,1.0,0.6000758409500122,0.3625848889350891,0.2490164339542389,0.0164113789796829,1.0,1.0,1.0
cgnet,rois,multiclass,1,6,8am,0.7613016366958618,0.5370277166366577,0.4336479306221008,0.6751016974449158,0.0,1.0,1.0,0.6145980358123779,0.3670799136161804,0.2768521308898926,0.5095497965812683,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,9am,0.7880885004997253,0.5605618357658386,0.4206913113594055,0.5415363311767578,0.0,1.0,1.0,0.650285542011261,0.3894309997558594,0.2663768827915191,0.3713060021400451,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,10am,0.7843953371047974,0.560124933719635,0.4644672274589538,0.666090726852417,0.0,1.0,1.0,0.6452717781066895,0.389009416103363,0.3024795353412628,0.4993523359298706,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,11am,0.782348096370697,0.5579468607902527,0.4631849229335785,0.7280373573303223,0.0,1.0,1.0,0.6425055265426636,0.3869114518165588,0.3013927638530731,0.5723732709884644,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,12pm,0.7820566892623901,0.5583361387252808,0.4643469452857971,0.8022657036781311,0.0,1.0,1.0,0.6421125531196594,0.3872859477996826,0.3023774921894073,0.6698194146156311,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,1pm,0.7879661917686462,0.5636242628097534,0.4458870887756347,0.8236536383628845,0.0,1.0,1.0,0.6501190066337585,0.3923933207988739,0.2869077920913696,0.7001795172691345,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,2pm,0.7934753894805908,0.566784679889679,0.3816477060317993,0.8030927777290344,0.0,1.0,1.0,0.6576537489891052,0.3954637050628662,0.235824853181839,0.6709733009338379,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,3pm,0.7800877690315247,0.5534337162971497,0.3865256011486053,0.8018480539321899,0.0,1.0,1.0,0.6394622325897217,0.3825844228267669,0.2395610213279724,0.6692373752593994,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,4pm,0.7950700521469116,0.5698175430297852,0.3919879198074341,0.7525722980499268,0.0,1.0,1.0,0.6598474979400635,0.3984229564666748,0.2437717467546463,0.6032993197441101,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,5pm,0.78737872838974,0.5607306957244873,0.3721250593662262,0.798751950263977,0.0,1.0,1.0,0.649319589138031,0.3895939886569977,0.2285955995321273,0.6649350523948669,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,6pm,0.7736281752586365,0.5482370853424072,0.408101350069046,0.7919670343399048,1.0,1.0,1.0,0.6308267712593079,0.3776354193687439,0.2563613951206207,0.6555839776992798,1.0,1.0,1.0
cgnet,rois,multiclass,1,6,7pm,0.7775447964668274,0.5520020723342896,0.4285944998264313,0.7769029140472412,0.0,1.0,1.0,0.6360517740249634,0.3812174797058105,0.2727459669113159,0.6351931095123291,0.0,1.0,1.0
cgnet,rois,multiclass,1,6,8pm,0.7700333595275879,0.5444487929344177,0.4064571559429168,0.7480000257492065,0.0,1.0,1.0,0.6260603666305542,0.3740499019622803,0.2550650835037231,0.5974441170692444,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,8am,0.7735136151313782,0.5464212894439697,0.5546702146530151,0.8676871657371521,0.0,1.0,1.0,0.630674421787262,0.3759144842624664,0.3837672173976898,0.7662962675094604,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,9am,0.7820619344711304,0.5535128712654114,0.5551454424858093,0.7529967427253723,0.0,1.0,1.0,0.6421195864677429,0.3826600909233093,0.3842223286628723,0.6038450598716736,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,10am,0.7659934759140015,0.5427852869033813,0.5523144602775574,0.8604651093482971,0.0,1.0,1.0,0.6207370162010193,0.3724813461303711,0.3815155029296875,0.7551020383834839,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,11am,0.771175742149353,0.5480213165283203,0.5499158501625061,0.8725366592407227,0.0,1.0,1.0,0.6275720000267029,0.3774307072162628,0.3792303204536438,0.7738936543464661,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,12pm,0.7782970666885376,0.5537981986999512,0.5709474682807922,0.8655532598495483,0.0,1.0,1.0,0.6370591521263123,0.3829328417778015,0.3995286822319031,0.7629738450050354,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,1pm,0.7890947461128235,0.5643367767333984,0.5732418894767761,0.8726734519004822,0.0105263162404298,1.0,1.0,0.6516568660736084,0.3930844068527221,0.4017793238162994,0.7741088271141052,0.0052910051308572,1.0,1.0
cgnet,rois,multiclass,1,7,2pm,0.7905604243278503,0.5645953416824341,0.5090672373771667,0.8922487497329712,0.0,1.0,1.0,0.6536584496498108,0.3933353126049042,0.3414421081542969,0.8054594397544861,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,3pm,0.7822650671005249,0.5567513704299927,0.5026574730873108,0.8828790187835693,0.0,1.0,1.0,0.6423935890197754,0.3857626020908355,0.3356997370719909,0.7903164029121399,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,4pm,0.7933095097541809,0.5682737827301025,0.5405774712562561,0.8781105279922485,0.0,0.0,1.0,0.6574258804321289,0.3969151079654693,0.3704050779342651,0.7827067375183105,0.0,0.0,1.0
cgnet,rois,multiclass,1,7,5pm,0.773539662361145,0.5460617542266846,0.4776203036308288,0.8637970685958862,0.0,0.0,1.0,0.6307090520858765,0.3755742311477661,0.3137327134609222,0.7602488994598389,0.0,0.0,1.0
cgnet,rois,multiclass,1,7,6pm,0.7688053846359253,0.5464957356452942,0.5415999293327332,0.8717098236083984,0.0,1.0,1.0,0.6244385838508606,0.3759849667549133,0.3713657855987549,0.7725936770439148,0.0,1.0,1.0
cgnet,rois,multiclass,1,7,7pm,0.7766902446746826,0.5510501861572266,0.4988805651664734,0.8782240748405457,0.0,0.0,1.0,0.63490891456604,0.3803100287914276,0.3323390185832977,0.7828872799873352,0.0,0.0,1.0
